Symptom,Body_System
recurrent throbbing elevated alkaline phosphatase submandibular,Laboratory/Observation
recurrent electric elevated alkaline phosphatase submandibular,Laboratory/Observation
recurrent aching elevated alkaline phosphatase submandibular,Laboratory/Observation
recurrent stabbing elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent dull elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent burning elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent sharp elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent pins and needles elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent pressure-like elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent cramping elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent squeezing elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent throbbing elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent electric elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent aching elevated alkaline phosphatase left-sided,Laboratory/Observation
recurrent stabbing elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent dull elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent burning elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent sharp elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent pins and needles elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent pressure-like elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent cramping elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent squeezing elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent throbbing elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent electric elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent aching elevated alkaline phosphatase epigastric,Laboratory/Observation
recurrent stabbing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent dull elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent burning elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent sharp elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent pins and needles elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent pressure-like elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent cramping elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent squeezing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent throbbing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent electric elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent aching elevated alkaline phosphatase localized to scalp,Laboratory/Observation
recurrent stabbing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent dull elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent burning elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent sharp elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent pins and needles elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent pressure-like elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent cramping elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent squeezing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent throbbing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent electric elevated alkaline phosphatase retro-orbital,Laboratory/Observation
recurrent aching elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute stabbing elevated alkaline phosphatase diffuse,Laboratory/Observation
acute dull elevated alkaline phosphatase diffuse,Laboratory/Observation
acute burning elevated alkaline phosphatase diffuse,Laboratory/Observation
acute sharp elevated alkaline phosphatase diffuse,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase diffuse,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase diffuse,Laboratory/Observation
acute cramping elevated alkaline phosphatase diffuse,Laboratory/Observation
acute squeezing elevated alkaline phosphatase diffuse,Laboratory/Observation
acute throbbing elevated alkaline phosphatase diffuse,Laboratory/Observation
acute electric elevated alkaline phosphatase diffuse,Laboratory/Observation
acute aching elevated alkaline phosphatase diffuse,Laboratory/Observation
acute stabbing elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute dull elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute burning elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute sharp elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute cramping elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute squeezing elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute throbbing elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute electric elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute aching elevated alkaline phosphatase periumbilical,Laboratory/Observation
acute stabbing elevated alkaline phosphatase periorbital,Laboratory/Observation
acute dull elevated alkaline phosphatase periorbital,Laboratory/Observation
acute burning elevated alkaline phosphatase periorbital,Laboratory/Observation
acute sharp elevated alkaline phosphatase periorbital,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase periorbital,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase periorbital,Laboratory/Observation
acute cramping elevated alkaline phosphatase periorbital,Laboratory/Observation
acute squeezing elevated alkaline phosphatase periorbital,Laboratory/Observation
acute throbbing elevated alkaline phosphatase periorbital,Laboratory/Observation
acute electric elevated alkaline phosphatase periorbital,Laboratory/Observation
acute aching elevated alkaline phosphatase periorbital,Laboratory/Observation
acute stabbing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute dull elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute burning elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute sharp elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute cramping elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute squeezing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute throbbing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute electric elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute aching elevated alkaline phosphatase supraclavicular,Laboratory/Observation
acute stabbing elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute dull elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute burning elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute sharp elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute cramping elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute squeezing elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute throbbing elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute electric elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute aching elevated alkaline phosphatase suprapubic,Laboratory/Observation
acute stabbing elevated alkaline phosphatase bilateral,Laboratory/Observation
acute dull elevated alkaline phosphatase bilateral,Laboratory/Observation
acute burning elevated alkaline phosphatase bilateral,Laboratory/Observation
acute sharp elevated alkaline phosphatase bilateral,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase bilateral,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase bilateral,Laboratory/Observation
acute cramping elevated alkaline phosphatase bilateral,Laboratory/Observation
acute squeezing elevated alkaline phosphatase bilateral,Laboratory/Observation
acute throbbing elevated alkaline phosphatase bilateral,Laboratory/Observation
acute electric elevated alkaline phosphatase bilateral,Laboratory/Observation
acute aching elevated alkaline phosphatase bilateral,Laboratory/Observation
acute stabbing elevated alkaline phosphatase right-sided,Laboratory/Observation
acute dull elevated alkaline phosphatase right-sided,Laboratory/Observation
acute burning elevated alkaline phosphatase right-sided,Laboratory/Observation
acute sharp elevated alkaline phosphatase right-sided,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase right-sided,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase right-sided,Laboratory/Observation
acute cramping elevated alkaline phosphatase right-sided,Laboratory/Observation
acute squeezing elevated alkaline phosphatase right-sided,Laboratory/Observation
acute throbbing elevated alkaline phosphatase right-sided,Laboratory/Observation
acute electric elevated alkaline phosphatase right-sided,Laboratory/Observation
acute aching elevated alkaline phosphatase right-sided,Laboratory/Observation
acute stabbing elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute dull elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute burning elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute sharp elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute cramping elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute squeezing elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute throbbing elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute electric elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute aching elevated alkaline phosphatase localized to toes,Laboratory/Observation
acute stabbing elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute dull elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute burning elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute sharp elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute cramping elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute squeezing elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute throbbing elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute electric elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute aching elevated alkaline phosphatase localized to fingers,Laboratory/Observation
acute stabbing elevated alkaline phosphatase inguinal,Laboratory/Observation
acute dull elevated alkaline phosphatase inguinal,Laboratory/Observation
acute burning elevated alkaline phosphatase inguinal,Laboratory/Observation
acute sharp elevated alkaline phosphatase inguinal,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase inguinal,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase inguinal,Laboratory/Observation
acute cramping elevated alkaline phosphatase inguinal,Laboratory/Observation
acute squeezing elevated alkaline phosphatase inguinal,Laboratory/Observation
acute throbbing elevated alkaline phosphatase inguinal,Laboratory/Observation
acute electric elevated alkaline phosphatase inguinal,Laboratory/Observation
acute aching elevated alkaline phosphatase inguinal,Laboratory/Observation
acute stabbing elevated alkaline phosphatase submandibular,Laboratory/Observation
acute dull elevated alkaline phosphatase submandibular,Laboratory/Observation
acute burning elevated alkaline phosphatase submandibular,Laboratory/Observation
acute sharp elevated alkaline phosphatase submandibular,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase submandibular,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase submandibular,Laboratory/Observation
acute cramping elevated alkaline phosphatase submandibular,Laboratory/Observation
acute squeezing elevated alkaline phosphatase submandibular,Laboratory/Observation
acute throbbing elevated alkaline phosphatase submandibular,Laboratory/Observation
acute electric elevated alkaline phosphatase submandibular,Laboratory/Observation
acute aching elevated alkaline phosphatase submandibular,Laboratory/Observation
acute stabbing elevated alkaline phosphatase left-sided,Laboratory/Observation
acute dull elevated alkaline phosphatase left-sided,Laboratory/Observation
acute burning elevated alkaline phosphatase left-sided,Laboratory/Observation
acute sharp elevated alkaline phosphatase left-sided,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase left-sided,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase left-sided,Laboratory/Observation
acute cramping elevated alkaline phosphatase left-sided,Laboratory/Observation
acute squeezing elevated alkaline phosphatase left-sided,Laboratory/Observation
acute throbbing elevated alkaline phosphatase left-sided,Laboratory/Observation
acute electric elevated alkaline phosphatase left-sided,Laboratory/Observation
acute aching elevated alkaline phosphatase left-sided,Laboratory/Observation
acute stabbing elevated alkaline phosphatase epigastric,Laboratory/Observation
acute dull elevated alkaline phosphatase epigastric,Laboratory/Observation
acute burning elevated alkaline phosphatase epigastric,Laboratory/Observation
acute sharp elevated alkaline phosphatase epigastric,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase epigastric,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase epigastric,Laboratory/Observation
acute cramping elevated alkaline phosphatase epigastric,Laboratory/Observation
acute squeezing elevated alkaline phosphatase epigastric,Laboratory/Observation
acute throbbing elevated alkaline phosphatase epigastric,Laboratory/Observation
acute electric elevated alkaline phosphatase epigastric,Laboratory/Observation
acute aching elevated alkaline phosphatase epigastric,Laboratory/Observation
acute stabbing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute dull elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute burning elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute sharp elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute cramping elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute squeezing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute throbbing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute electric elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute aching elevated alkaline phosphatase localized to scalp,Laboratory/Observation
acute stabbing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute dull elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute burning elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute sharp elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute pins and needles elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute pressure-like elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute cramping elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute squeezing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute throbbing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute electric elevated alkaline phosphatase retro-orbital,Laboratory/Observation
acute aching elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening dull elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening burning elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening sharp elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening cramping elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening electric elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening aching elevated alkaline phosphatase diffuse,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening dull elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening burning elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening sharp elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening cramping elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening electric elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening aching elevated alkaline phosphatase periumbilical,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening dull elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening burning elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening sharp elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening cramping elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening electric elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening aching elevated alkaline phosphatase periorbital,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening dull elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening burning elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening sharp elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening cramping elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening electric elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening aching elevated alkaline phosphatase supraclavicular,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening dull elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening burning elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening sharp elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening cramping elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening electric elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening aching elevated alkaline phosphatase suprapubic,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening dull elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening burning elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening sharp elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening cramping elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening electric elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening aching elevated alkaline phosphatase bilateral,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening dull elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening burning elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening sharp elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening cramping elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening electric elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening aching elevated alkaline phosphatase right-sided,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening dull elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening burning elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening sharp elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening cramping elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening electric elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening aching elevated alkaline phosphatase localized to toes,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening dull elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening burning elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening sharp elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening cramping elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening electric elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening aching elevated alkaline phosphatase localized to fingers,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening dull elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening burning elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening sharp elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening cramping elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening electric elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening aching elevated alkaline phosphatase inguinal,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening dull elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening burning elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening sharp elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening cramping elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening electric elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening aching elevated alkaline phosphatase submandibular,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening dull elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening burning elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening sharp elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening cramping elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening electric elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening aching elevated alkaline phosphatase left-sided,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening dull elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening burning elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening sharp elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening cramping elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening electric elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening aching elevated alkaline phosphatase epigastric,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening dull elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening burning elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening sharp elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening cramping elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening electric elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening aching elevated alkaline phosphatase localized to scalp,Laboratory/Observation
worsening stabbing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening dull elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening burning elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening sharp elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening pins and needles elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening pressure-like elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening cramping elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening squeezing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening throbbing elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening electric elevated alkaline phosphatase retro-orbital,Laboratory/Observation
worsening aching elevated alkaline phosphatase retro-orbital,Laboratory/Observation
constant stabbing elevated alkaline phosphatase diffuse,Laboratory/Observation
constant dull elevated alkaline phosphatase diffuse,Laboratory/Observation
constant burning elevated alkaline phosphatase diffuse,Laboratory/Observation
constant sharp elevated alkaline phosphatase diffuse,Laboratory/Observation
constant pins and needles elevated alkaline phosphatase diffuse,Laboratory/Observation
constant pressure-like elevated alkaline phosphatase diffuse,Laboratory/Observation
constant cramping elevated alkaline phosphatase diffuse,Laboratory/Observation
constant squeezing elevated alkaline phosphatase diffuse,Laboratory/Observation
constant throbbing elevated alkaline phosphatase diffuse,Laboratory/Observation
constant electric elevated alkaline phosphatase diffuse,Laboratory/Observation
constant aching elevated alkaline phosphatase diffuse,Laboratory/Observation
constant stabbing elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant dull elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant burning elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant sharp elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant pins and needles elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant pressure-like elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant cramping elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant squeezing elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant throbbing elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant electric elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant aching elevated alkaline phosphatase periumbilical,Laboratory/Observation
constant stabbing elevated alkaline phosphatase periorbital,Laboratory/Observation
constant dull elevated alkaline phosphatase periorbital,Laboratory/Observation
constant burning elevated alkaline phosphatase periorbital,Laboratory/Observation
constant sharp elevated alkaline phosphatase periorbital,Laboratory/Observation
constant pins and needles elevated alkaline phosphatase periorbital,Laboratory/Observation
constant pressure-like elevated alkaline phosphatase periorbital,Laboratory/Observation
constant cramping elevated alkaline phosphatase periorbital,Laboratory/Observation
constant squeezing elevated alkaline phosphatase periorbital,Laboratory/Observation
constant throbbing elevated alkaline phosphatase periorbital,Laboratory/Observation
constant electric elevated alkaline phosphatase periorbital,Laboratory/Observation
constant aching elevated alkaline phosphatase periorbital,Laboratory/Observation
constant stabbing elevated alkaline phosphatase supraclavicular,Laboratory/Observation
constant dull elevated alkaline phosphatase supraclavicular,Laboratory/Observation
constant burning elevated alkaline phosphatase supraclavicular,Laboratory/Observation
constant sharp elevated alkaline phosphatase supraclavicular,Laboratory/Observation
constant pins and needles elevated alkaline phosphatase supraclavicular,Laboratory/Observation
